[17.07.2017 12:35:53] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';say test'
[17.07.2017 12:35:55] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';say hello'
[17.07.2017 12:35:56] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';dev'
[17.07.2017 12:36:01] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';help'
[18.07.2017 08:03:29] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';xp <@221905671296253953>'
[18.07.2017 08:04:11] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';xp <@221905671296253953>'
[18.07.2017 08:05:23] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';xp <@221905671296253953>'
[18.07.2017 08:06:09] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';xp <@221905671296253953>'
[18.07.2017 08:06:47] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';xp <@221905671296253953>'
[18.07.2017 08:08:01] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';xp <@221905671296253953>'
[18.07.2017 08:08:18] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';xp <@221905671296253953>'
[18.07.2017 08:08:21] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';xp'
[18.07.2017 08:09:00] [Developing Test Server (287535046762561536)] [zekro (221905671296253953)] ';xp'
